aspect,sentiment,head_noun,tfidf_sum,freq,phrase
environment,neg,allergy,0.23570226039551587,1,convey_allergy
environment,neg,baby,0.23570226039551587,1,old_baby
environment,neg,chair,0.23570226039551587,1,extremely_uncomfortable_chair
environment,neg,concern,0.23570226039551587,1,raise_concern
environment,neg,date,0.23570226039551587,1,quiet_perfect_date
environment,pos,vibe,0.6666666666666666,4,cozy_ambiance
environment,pos,overall,0.3333333333333333,2,overall_experience
environment,pos,recommend,0.3333333333333333,2,highly_recommend_place
environment,pos,wonderful,0.3333333333333333,2,wonderful_experience
environment,pos,beat,0.16666666666666666,1,truly_beat_place
price,neg,bar,0.3779644730092272,1,tiny_bar
price,neg,crab,0.3779644730092272,1,expensive_crab
price,neg,group,0.3779644730092272,1,small_group
price,neg,little,0.3779644730092272,1,monday_little
price,neg,price,0.3779644730092272,1,decently_price
price,pos,lot,0.5773502691896258,2,spend_lot
price,pos,confident,0.2886751345948129,1,feel_confident
price,pos,especially,0.2886751345948129,1,recommend_especially
price,pos,level,0.2886751345948129,1,lack_level
price,pos,menu,0.2886751345948129,1,check_menu
service,neg,issue,0.5345224838248488,2,alarming_issue
service,neg,confuse,0.2672612419124244,1,honestly_confuse
service,neg,customer,0.2672612419124244,1,poor_customer
service,neg,enjoy,0.2672612419124244,1,not_typically_enjoy
service,neg,expectation,0.2672612419124244,1,exceed_expectation
service,pos,service,1.4814874939752931,13,great_service
service,pos,great,0.4558423058385518,4,great_experience
service,pos,friendly_staff,0.3418817293789138,3,super_friendly_staff
service,pos,highly_recommend,0.3418817293789138,3,highly_recommend
service,pos,forward,0.2279211529192759,2,look_forward
taste,neg,blue_crab,0.4685212856658182,3,blue_crab
taste,neg,spicy_tuna,0.4685212856658182,3,spicy_tuna
taste,neg,fish,0.31234752377721214,2,different_fish
taste,neg,handroll,0.31234752377721214,2,bad_handroll
taste,neg,shell,0.31234752377721214,2,soft_shell
taste,pos,handroll,1.3924186824493714,54,good_handroll
taste,pos,appetizer,0.28364084272116813,11,absolutely_delicious_appetizer
taste,pos,crispy_rice,0.10314212462587934,4,spicy_albacore_crispy_rice
taste,pos,yunomi,0.10314212462587934,4,definitely_recommend_yunomi
taste,pos,delicious_food,0.0773565934694095,3,delicious_food
waiting_time,neg,time,1.5075567228888183,5,wait_hour
waiting_time,neg,busy,0.30151134457776363,1,busy_area
waiting_time,neg,damage,0.30151134457776363,1,cause_damage
waiting_time,neg,heaven,0.30151134457776363,1,enter_heaven
waiting_time,neg,weekend,0.30151134457776363,1,busy_weekend
waiting_time,pos,quickly,0.7071067811865476,3,come_quickly
waiting_time,pos,time,0.7071067811865476,3,pretty_fast_minute
waiting_time,pos,audience,0.23570226039551587,1,broad_audience
waiting_time,pos,come,0.23570226039551587,1,definitely_come
waiting_time,pos,crowd,0.23570226039551587,1,usually_crowd
